"","Designation"
"15256","Im Holzfass Gereift Unfiltriert Trocken"
"15257","Im Sonnenschein Grosses Gewachs"
"15258","Im Weingebirge Federspiel"
"15259","Im Weingebirge Smaragd"
"15260","Imagination Reserve Sebastianio Vineyards"
"15261","Imagine Reserve"
"15262","Imogene's Vineyard Tomas"
"15263","Impatience"
"15264","Imperatrice"
"15265","Imperial Brut"
"15266","Imperial Brut Rose"
"15267","Imperial Extra Dry"
"15268","Imperial Gran Reserva"
"15269","Imperial Reserva"
"15270","Imperial Reserve"
"15271","Imperiale Fior d'Arancio Orange"
"15272","Imperialis"
"15273","Imperium"
"15274","Impervious"
"15275","Impetu"
"15276","Impetus Select"
"15277","Implico"
"15278","Imposible"
"15279","Imprint"
"15280","Impronta"
"15281","Impronte"
"15282","Improv"
"15283","Improvisation"
"15284","Impulse"
"15285","Impulsivo"
"15286","Impulsivo En Chamberlain Vineyard"
"15287","Impulsivo En Chamberlin Vineyard"
"15288","Imus Selection"
"15289","In a Heart Beat"
"15290","In den Rothen"
"15291","In der Schablau Reserve"
"15292","In Fine"
"15293","In Order to Form a More Perfect Union"
"15294","In Signo Leonis"
"15295","In Signo Sagittarii"
"15296","In Signo Tauri"
"15297","In The Groove"
"15298","In the Hills Estate Foothills in the Sun Vineyard"
"15299","In the Hills Estate Syrah Foothills in the Sun Vineyard"
"15300","In the Rocks Estate"
"15301","In the Rocks Vineyard Estate"
"15302","In Tune"
"15303","In Violas"
"15304","Inattendue Blanc de Blancs Extra Brut"
"15305","Inattendue Extra Brut Blanc de Blancs"
"15306","Inaugural Vintage"
"15307","Incandescent Proprietary"
"15308","Incanto"
"15309","Inchinnan"
"15310","Incline One Nine Reserve"
"15311","Incredible"
"15312","Incredible Red"
"15313","Incrocio Manzoni 6.0.13"
"15314","Indaco"
"15315","Indelible"
"15316","Independence Point"
"15317","India Ink"
"15318","Indian Creek Vineyard"
"15319","Indian Springs Ranch"
"15320","Indian Springs Ranch Estate Grown"
"15321","Indian Springs Ranch Reserve"
"15322","Indian Springs Ranch Vineyard"
"15323","Indian Summer"
"15324","Indian Summer Select Late Harvest VQA"
"15325","Indian Valley Vineyard"
"15326","Indian Wells"
"15327","Indie"
"15328","Indie Noir"
"15329","Indindoli Family Vineyard"
"15330","Indindoli Vineyard"
"15331","Indiscreet"
"15332","Individual Selection"
"15333","Individual Vineyard Selection"
"15334","Individual Vineyard Selection Dry"
"15335","Indomitable"
"15336","Indra"
"15337","Indue"
"15338","Indulgence"
"15339","Indulgence Reichel Vineyard"
"15340","Indvido"
"15341","Inedito"
"15342","Inertia"
"15343","Ines in White"
"15344","Ineseno"
"15345","Inevitavel"
"15346","Infamous Cooper Ranch"
"15347","Inference"
"15348","Infernet"
"15349","Inferno"
"15350","Inferno Al Carmine"
"15351","Inferno Efesto"
"15352","Inferno Fiamme Antiche Riserva"
"15353","Inferno Riserva"
"15354","Infidels"
"15355","Infiltrado"
"15356","Infinie"
"15357","Infinitio"
"15358","Infinito"
"15359","Infrared Estate"
"15360","Ingeborg Vineyard"
"15361","Ingenium Reserve"
"15362","Ingenuity"
"15363","Ingenuity Paderewski Vineyard"
"15364","Ingle Vineyard"
"15365","Ingle Vineyard Icewine"
"15366","Ingle Vineyard Unoaked"
"15367","Inglewood Vineyard"
"15368","Ingrid's Vineyard"
"15369","Ingrid and Julia"
"15370","Inigo Montoya"
"15371","Initiales"
"15372","Ink Grade Vineyard"
"15373","Inkblot"
"15374","Inked"
"15375","Inland Desert"
"15376","Innato Circeo"
"15377","Inner Peace"
"15378","Innere Bergen"
"15379","Innominabile Lote IV"
"15380","Innovation"
"15381","Innovazione"
"15382","INOX Unoaked"
"15383","Inquieto Reserva"
"15384","Inquieto Tinto"
"15385","Insania Merlot Cabernet Sauvignon Petit Verdot Malbec Cabernet Franc"
"15386","Insania White"
"15387","Inside Passage Reserve"
"15388","Insider"
"15389","Insieme"
"15390","Insieme 49.41.10"
"15391","Insignia"
"15392","Insignia 40th Vintage Estate Grown"
"15393","Insignia Estate Grown"
"15394","Insoglio del Cinghiale"
"15395","Insolite"
"15396","Insouciance Brut Rose"
"15397","Inspiracion"
"15398","Inspiracion Edicion Limitada"
"15399","Inspiracion Pampano"
"15400","Inspiracion Valdemar"
"15401","Inspiracion Valdemar Alto Cantabria"
"15402","Inspiracion Valdemar Edicion Limitada"
"15403","Inspiracion Valdemar Las Seis Alhajas"
"15404","Inspiracion Valdemar Seleccion"
"15405","Inspirado"
"15406","Inspiration 7.5"
"15407","Inspiration 7.5.3"
"15408","Inspiration 7.9"
"15409","Inspiration A Red Wine"
"15410","Inspiration Reserve Red"
"15411","Inspiration Vineyard Magnolia Series"
"15412","Inspire"
"15413","InSpire"
"15414","InSpire ROMAnce"
"15415","Inspired"
"15416","Inspired Red"
"15417","Instant B"
"15418","Instant Gratification"
"15419","Instant Napa"
"15420","Instant Present"
"15421","Instantanee Extra Brut"
"15422","Instinct"
"15423","Instinct Parcellaire"
"15424","Instinctual"
"15425","Insynthesis"
"15426","Intaglio"
"15427","Integolo"
"15428","Integrity"
"15429","Intelligent Design Cuvee"
"15430","Intemporelle"
"15431","Intense"
"15432","Intense Brut"
"15433","Intenso"
"15434","Intenso Brut"
"15435","Interchange"
"15436","Interlude"
"15437","Interra Bianco"
"15438","Interra Rosso"
"15439","Into the Fog"
"15440","Intreccio Library Selection"
"15441","intrepid"
"15442","Intrepid"
"15443","Intrepide"
"15444","Intriga Maxima"
"15445","Intrigue"
"15446","Intrinity"
"15447","Intuition"
"15448","Intuition Field Blend"
"15449","Intuition Reserve Red Wine"
"15450","Inu Riserva"
"15451","Inversus"
"15452","Invetro"
"15453","Invierno"
"15454","Inzinerator"
"15455","InZinerator"
"15456","Io sono Gaia non sono Lucrezia"
"15457","Iohanna Gran Selezione"
"15458","Iperico"
"15459","Iperione"
"15460","iPink"
"15461","Ipso Facto"
"15462","Ipso Zuc di Volpe"
"15463","Ipsum"
"15464","Ireos"
"15465","Irick Vineyard"
"15466","Irmana"
"15467","Iron Bed Red"
"15468","Iron Hill Vineyard"
"15469","Iron Knob Single Vineyard"
"15470","Ironclad"
"15471","Irongate"
"15472","Irreverente"
"15473","Is Argiolas"
"15474","Is Solinas"
"15475","Isaac's Reserve"
"15476","Isabel"
"15477","Isabel's Cuvee"
"15478","Isabel's Cuvee Gibson Ranch"
"15479","Isabelino"
"15480","Isabelino Rosado"
"15481","Isabella"
"15482","Isabella Francesca Vineyard"
"15483","Isabelle"
"15484","Iscay"
"15485","Iselis"
"15486","Iselis Bianco"
"15487","Ishi Pishi Ranch"
"15488","Isidora"
"15489","Island Block"
"15490","Island Series"
"15491","Island Sunset Cabernet Franc"
"15492","Isliedh"
"15493","Isoceles"
"15494","Isoceles Reserve"
"15495","Isolabella della Croce Solio"
"15496","Isolanuda"
"15497","Isolanuda Bianco"
"15498","Isolation Ridge Vineyard"
"15499","Isonzio"
"15500","Isosceles"
"15501","Israeli Journey"
"15502","Istituto Agrario San Michele all'Adige"
"15503","Istrico"
"15504","Isula"
"15505","iSyrah"
"15506","It's a Headsnapper"
"15507","It's a Long Way Barrel Select"
"15508","Italo's Vineyard"
"15509","Italo Riserva"
"15510","Iugiter"
"15511","Ius Naturae Millesimato Brut"
"15512","Ius Naturae Organic Brut"
"15513","IV Sons"
"15514","Ivoire & Ebene Premier Cru Brut"
"15515","Ivoire et Ebene Premier Cru Brut"
"15516","Ivy Rose de"
"15517","Ivy Rose of"
"15518","Ivywood"
"15519","IX Estate"
"15520","Izarbe Gran Reserva"
"15521","Izarbe Reserva Seleccion"
"15522","Izbrani"
"15523","J & S Reserve"
"15524","J McK Estate Vineyard"
"15525","J Nicole's Vineyard Estate Grown"
"15526","J&S Reserve"
"15527","J. Alberto"
"15528","J. Alberto Single Vineyard"
"15529","J. Daniel Cuvee"
"15530","J. Garrett"
"15531","J. Schram"
"15532","J. Schram 50 Late Disgorged"
"15533","J. Schram Brut Rose"
"15534","J. Schram Late Disgorged 150th Anniversary Release"
"15535","J. Schram Rose"
"15536","J.D. Hurley"
"15537","J.D. Hurley Cabiolo"
"15538","J.D. Hurley Griva Vineyard"
"15539","J.D. Hurley R.E.D. Vineyard"
"15540","J.D. Hurley Rose of"
"15541","J.D.Hurley R.E.D. Vineyards"
"15542","JA Ranch"
"15543","Jacarando Rose Extra Brut"
"15544","Jack's Cabin Vineyard"
"15545","Jack's Dry Creek"
"15546","Jack's Hill"
"15547","Jack's HIll Vineyard Clone 76"
"15548","Jack's Masterpiece"
"15549","Jack's Reserve"
"15550","Jack's Reserve Estate Vineyards"
"15551","Jack's Vineyard"
"15552","Jack Barret"
"15553","Jack Florence Vineyard"
"15554","Jack Hill Vineyard"
"15555","Jack London Vineyard"
"15556","Jack McGinley Vineyard"
"15557","Jack of Hearts"
"15558","Jack of Hearts Petit Verdot"
"15559","Jack Rabbit Flat"
"15560","Jack Rabbit Flat Vineyard"
"15561","Jackal Bird"
"15562","Jackaman's"
"15563","Jackknife Corner"
"15564","Jacks Are Wild"
"15565","Jackson Estate Camelot Highlands"
"15566","Jackson Estates Grown Vintner's Reserve"
"15567","Jackson Hills"
"15568","Jackson James"
"15569","Jackson Park Vineyard"
"15570","Jacob Hart Estate Vineyard"
"15571","Jacob Hart Vineyard"
"15572","Jacobus Trocken"
"15573","Jacques de Connick"
"15574","Jacques Sans Souci"
"15575","Jaden & Keira's Cuvee"
"15576","Jaden and Keira's Cuvee"
"15577","Jadis"
"15578","Jahrgang"
"15579","Jaja Red Wine Grenache Syrah Mourvedre"
"15580","Jake's Cellar Master Select"
"15581","Jake's Vineyard"
"15582","Jakobi"
"15583","Jakot"
"15584","Jala Blanco"
"15585","Jalal"
"15586","Jalifa Rare Old Dry Amontillado Aged 30 Years"
"15587","Jaloco"
"15588","Jaloco Joven"
"15589","Jaloco Roble"
"15590","Jaloco Rosado"
"15591","Jam's Blend"
"15592","Jambalaia Rouge"
"15593","James Berry Vineyard"
"15594","James Berry Vineyard Bone Rock"
"15595","James Gang Reserve"
"15596","James Paddock"
"15597","Jamie"
"15598","Jamie Lynn Vineyard"
"15599","Jamilla's Vineyard"
"15600","Jamison Valley Vineyard Destein Estate"
"15601","Jammin'"
"15602","Jammin' Red"
"15603","Jamsheed"
"15604","Jan Petit"
"15605","Jane's Vineyard"
"15606","Jane's Vineyard Clone 114"
"15607","Jane's Vineyard Clone 23"
"15608","Jane's Vineyard Clone 667"
"15609","Jane's Vineyard Dijon Clone 115"
"15610","Jane's Vineyard Dijon Clone 777"
"15611","Jane's Vineyard Garfield Block"
"15612","Jane's Vineyard Virginia's Block"
"15613","Jane Hunter"
"15614","Janina"
"15615","Janus"
"15616","Jaraman"
"15617","Jaraya Passito"
"15618","Jardim da Estrela"
"15619","Jardim da Estrela Branco"
"15620","Jardin du Soleil Cuvee Prestige"
"15621","Jardin en Fleurs Brut"
"15622","Jardine"
"15623","Jardinu"
"15624","Jaros"
"15625","Jas d'Esclans"
"15626","Jas des Vignes"
"15627","Jason and Aiden's Block"
"15628","Jassarte"
"15629","Java by Chiroulet"
"15630","Javier Asensio"
"15631","Javier Asensio Reserva"
"15632","Javier Asensio Tinto"
"15633","Javier San Pedro"
"15634","Javier San Pedro Crianza"
"15635","Javier San Pedro Reserva"
"15636","Jay Wilderotter Vineyard"
"15637","Jaybird Unoaked"
"15638","JB Ameritage"
"15639","JB Winemaker Series"
"15640","JBO's Frangiovese"
"15641","JD Hurley"
"15642","Je Ne Sais Quoi"
"15643","Je T'aime Je T'adore"
"15644","Jean Baptiste Kabinett"
"15645","Jean Claude Mas Les Faisses"
"15646","Jean Ernest Descombes"
"15647","Jean Faux"
"15648","Jean Louis Vermeil Frediani Vineyard"
"15649","Jean Vincent"
"15650","Jeff Gordon Collection"
"15651","Jefferson Cuvee"
"15652","Jeffrey's Block"
"15653","Jekyll & Hyde"
"15654","Jemma"
"15655","Jemrose Vineyard"
"15656","Jemrose Vineyard Cardiac Hill"
"15657","Jenkins Ranch"
"15658","Jenkins Vineyard"
"15659","Jennifer's"
"15660","Jensen"
"15661","Jensen Vineyard"
"15662","Jeremy's Vineyard"
"15663","Jerome Reserve"
"15664","Jerry & Barry"
"15665","Jerry & Barry Fur Fruchtige"
"15666","Jersey Girl"
"15667","Jerusalem Hill"
"15668","Jerusalem Hill Vineyard"
"15669","Jesera"
"15670","Jespersen Ranch"
"15671","Jespersen Ranch Le Pave"
"15672","Jespersen Vineyard"
"15673","Jesperson Ranch"
"15674","Jesse's Vineyard"
"15675","Jessica"
"15676","Jessie James Vineyard"
"15677","Jessie Vineyard"
"15678","Jester"
"15679","Jester Sangiovese"
"15680","Jet Black Destiny Ridge Vineyard"
"15681","Jeune Red"
"15682","Jeunes Rois"
"15683","Jeunette Rouge"
"15684","Jewel Block Vineyard"
"15685","Jewel Collection"
"15686","Jewel Collection Cabernet Sauvignon"
"15687","Jewel Collection Estate"
"15688","Jewel Collection Estate Reserve"
"15689","Jewel Collection Series Estate Reserve"
"15690","Jewell Block Vineyard Dutton Ranch"
"15691","Jewell Vineyard Dutton Ranch"
"15692","Jewelstone"
"15693","Jewett Creek Vineyards"
"15694","JG's Joie du Vin"
"15695","Ji Ji Ji Finca Villa Seca Gen Fuerza Tranquila"
"15696","Jill's 115"
"15697","Jill's Vineyard"
"15698","Jillian's Blend"
"15699","Jim's Script"
"15700","Jim Jim"
"15701","Jim Jim Unoaked"
"15702","Jimmy's Dream"
"15703","Jimmy Section"
"15704","JJ Bourgogne Blanc"
"15705","JKII Estate Vineyard"
"15706","JME Seleccion"
"15707","Joana"
"15708","Jochinger Berg Federspiel"
"15709","Jochinger Pichl Federspiel"
"15710","Johan Vineyard"
"15711","Johann's Garden"
"15712","Johann Federspiel"
"15713","Johannesbergen"
"15714","Johanneshohe"
"15715","Johannisberg"
"15716","Johannisberg Holle Erstes Gewachs"
"15717","Johannisberg Holle GG"
"15718","Johannisberg Holle GG Erste Lage"
"15719","Johannisberg S Kabinett Feinherb"
"15720","Johannisberg V Kabinett"
"15721","Johannisberg Wallhausen Erste Lage Trockenbeerenauslese"
"15722","Johannisberg Wallhausen Trocken GG"
"15723","Johannisberg Wallhausen Trocken GG Erste Lage"
"15724","Johannisberger Auf der Holl Erste Lage Trocken"
"15725","Johannisberger Erntebringer Kabinett"
"15726","Johannisberger Klaus Auslese"
"15727","Johannisberger Klaus Spatlese"
"15728","Johas Vineyard"
"15729","John Adlum"
"15730","John Adlum Limited"
"15731","John C. Sullenger Vineyard"
"15732","John C. Sullenger Vyd"
"15733","John Lewis"
"15734","John Riddoch Limited Release"
"15735","John Sebastiano"
"15736","John Sebastiano Vineyard"
"15737","John Sebastiano VIneyard"
"15738","John Sebastiano Vinyard"
"15739","John X Merriman"
"15740","Joie de Vivre"
"15741","Joiser Kirschgarten"
"15742","JoLi Estate Vineyard"
"15743","Jolie"
"15744","Jolie Bouche"
"15745","Jolie Bouche Boushey Vineyard"
"15746","Jolie Rose"
"15747","Jon Boat"
"15748","Jones Block Single Vineyard"
"15749","Jones Vineyard"
"15750","Jones Vineyards Brut"
"15751","Jordan Block"
"15752","Jorio"
"15753","Jory Cuvee"
"15754","Jory Hills Vineyard"
"15755","Jos. Belli Vineyards"
"15756","Josahn"
"15757","Jose de Sousa"
"15758","Jose Pariente Fermentado en Barrica"
"15759","Jose S Ferrer Selection Reserve Estate"
"15760","Jose S. Ferrer Estate Reserve Selection"
"15761","Jose S. Ferrer Selection"
"15762","Josef Vineyard"
"15763","Josef Vineyard Late Harvest Estate Bottled and Grown"
"15764","Josep Foraster Crianca"
"15765","Josep Foraster Macabeu"
"15766","Josephine"
"15767","Josephine Hill Vineyard"
"15768","Josephine Mariposa"
"15769","Josephshofer Kabinett"
"15770","Josephshofer Spatlese"
"15771","Josie's Knoll"
"15772","Josie's Knoll Reserve"
"15773","Josie's Knoll Rotunda"
"15774","Joughin Vineyard"
"15775","Journey"
"15776","Joven"
"15777","Joven Made with Organically Grown Grapes"
"15778","Joven Roble"
"15779","Joven Tinto"
"15780","Jovial"
"15781","Jovis Italic Blend"
"15782","Jovita's Selection"
"15783","Jovly"
"15784","Joy Blanc de Blancs"
"15785","Joy Dry"
"15786","Joy Estate Bottled"
"15787","Joy Rose"
"15788","Joyau de France"
"15789","Joyau de France Brut"
"15790","Joyau de France Brut Rose"
"15791","Joyful"
"15792","JP Azeitao"
"15793","JP Azeitao Branco"
"15794","JP Azeitao Moscatel Graudo Fernao Pires"
"15795","JP Azeitao Syrah"
"15796","JP Azeitao Tinto"
"15797","JP Private Selection"
"15798","JR Reserve"
"15799","JRG Red"
"15800","JTW Reserve Port"
"15801","Juan Benegas"
"15802","Juan Cruz Navarro Torre Gran"
"15803","Juan de Albret Crianza"
"15804","Juanita Rose"
"15805","Jubilant Reserve"
"15806","Jubilee"
"15807","Jubilee Hugel"
"15808","Jubilee Vineyard"
"15809","Jubilo"
"15810","Judean Heights"
"15811","Judge's Reserve"
"15812","Judge Bell"
"15813","Judge Family Vineyard"
"15814","Judgment Tree"
"15815","Judy's Vineyard"
"15816","Juegabolos"
"15817","Juffer Brauneberg Kabinett"
"15818","Juffer Brauneberg Spatlese"
"15819","Juffer Trocken GG"
"15820","Juicy Sweet"
"15821","Juicy Sweet Estate"
"15822","Jules Reserve"
"15823","Julia"
"15824","Julia's"
"15825","Julia's Vineyard"
"15826","Julia's Vineyard Estate Grown & Bottled"
"15827","Julia Kemper"
"15828","Julia Kemper Branco Reserva"
"15829","Julian"
"15830","Julian Madrid Reserva"
"15831","Juliana Vineyard"
"15832","Juliard"
"15833","Juliard Vineyard"
"15834","Juliard Vineyard Old Vine"
"15835","Julie's Vineyard"
"15836","Juliette"
"15837","Julillae Cruase Brut"
"15838","Julio B. Bastos Grande Reserva"
"15839","Julius"
"15840","Julius Caesar"
"15841","Jumara"
"15842","Jump the Moon"
"15843","Jump Up"
"15844","Junge Reben Kabinett Trocken"
"15845","Junge Reben Trocken"
"15846","Jungfer Auslese"
"15847","Jungherrn"
"15848","Junior"
"15849","Junipero"
"15850","Jurassic Park Vineyard"
"15851","Jurassic Park Vineyard Old Vines"
"15852","Jurosa"
"15853","Just Right"
"15854","Just Young"
"15855","Justi Creek Vineyard"
"15856","Justice"
"15857","Justice Vineyard"
"15858","Justification"
"15859","Justin Monmousseau"
"15860","Justine"
"15861","Justo"
"15862","Juvelo"
"15863","JV Estate"
"15864","K Block"
"15865","K Block Estate Grown"
"15866","K de Kirwan"
"15867","K libre"
"15868","K Libre 1040"
"15869","K lys"
"15870","K Lys"
"15871","K nom"
"15872","K Pot'"
"15873","K Price"
"15874","Kaaimansgat"
"15875","Kaaimansgat Limited Edition"
"15876","Kaapse Vonkel Brut Rose"
"15877","Kabinett"
"15878","Kabinett Feinherb Wiltinger Alte Reben"
"15879","Kabinett Medium Dry"
"15880","Kabinett Trocken"
"15881","Kabir"
"15882","Kadette"
"15883","Kadette Dry Pinotage"
"15884","Kadita Single Vineyard"
"15885","Kados"
"15886","Kados Risignolo"
"15887","Kaefferkopf Grand Cru"
"15888","Kaefferkopf Grand Cru Vieilles Vignes"
"15889","Kaefferkopf Vielles Vignes Grand Cru"
"15890","Kaferberg"
"15891","Kaferberg Erste Lage Reserve"
"15892","Kaferberg Reserve"
"15893","Kagor Reserve"
"15894","Kagor Special Pastoral"
"15895","Kahina"
"15896","Kaid Vendemmia Tardiva"
"15897","Kairos Vineyard"
"15898","Kaiser Vineyard at The Benches"
"15899","Kaiser Vineyard Reserve"
"15900","Kaiton"
"15901","Kakhetian Royal"
"15902","Kalaris Family Vineyard"
"15903","Kalas"
"15904","Kalen's Big Boy Blend"
